Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Apalachicola|a river in northwestern Florida formed by the confluence of the Chattahoochee River and the Flint River at the Florida border
Apennines|a mountain range extending the length of the Italian peninsula
Apollo asteroid|an asteroid whose orbit crosses the Earth's orbit
Appalachians|a mountain range in the eastern United States extending from Quebec to the Gulf of Mexico; a historic barrier to early westward expansion of the United States
Apus|a constellation in the polar region of the southern hemisphere near Octans
Aquarius|a zodiacal constellation in the southern hemisphere; between Capricornus and Pisces
Aquila|a constellation in the Milky Way near Cygnus; contains the star Altair
Ara|a constellation in the southern hemisphere near Telescopium and Norma
Arabian Sea|a northwestern arm of the Indian Ocean between India and Arabia
Arafura Sea|a part of the western Pacific Ocean to the north of Australia and to the south of New Guinea and the eastern islands of Indonesia
Araguaia|a river in central Brazil that flows generally northward (with many falls) to join the Tocantins River
Ararat|the mountain peak that Noah's ark landed on as the waters of the great flood receded
Aras|a river that rises in northeastern Turkey (near the source of the Euphrates) and flows generally eastward through Armenia to the Caspian Sea; ancient name was Araxes
Arauca|a river that rises in northern Colombia and flows generally eastward to the Orinoco in central Venezuela
Arctic Ocean|ice covered waters surrounding the North Pole; mostly covered with solid ice or with ice floes and icebergs
Arcturus|the 4th brightest star and the brightest star in the constellation Bootes; 36 light-years from Earth
Argo|formerly a large constellation in the southern hemisphere between Canis Major and the Southern Cross; now divided into Carina and Pyxis and Puppis and Vela
Argun|a river in eastern Asia that arises in China and flows northeast along the border between China and Russia to become a tributary of the Amur River
Aries|a small zodiacal constellation in the northern hemisphere; between Pisces and Taurus
Aristarchus|a bright crater on the Moon
Arkansas|a river that rises in the Rocky Mountains in Colorado and flows southeast through Kansas and Oklahoma and through Arkansas to become a tributary of the Mississippi River
Arno|a river in central Italy rising in the Apennines and flowing through Florence and Pisa to the Ligurian Sea
Asia|the largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations
Atacama Trench|a depression in the floor of the Pacific Ocean off the coast of Chile
Atlantic|the 2nd largest ocean; separates North and South America on the west from Europe and Africa on the east
Atlantic Coast|a coast of the Atlantic Ocean
Atlas Mountains|a mountain range in northern Africa between the Mediterranean and the Sahara Desert; extends from southwestern Morocco to northern Tunisia
Auriga|a conspicuous constellation in the northern hemisphere; between Great Bear and Orion at edge of Milky Way
Australia|the smallest continent; between the South Pacific and the Indian Ocean
Australian Alps|a range of mountains in Australia that forms the southern end of the Great Dividing Range
Avon|a river in central England that flows through Stratford-on-Avon and empties into the Severn
Avon|a river in southwestern England rising in Gloucestershire and flowing through Bristol to empty into the estuary of the Severn
Baffin Bay|a body of water between Greenland and northeastern Canada; connected with the Arctic Ocean to the north and with the Atlantic Ocean (via the Labrador Sea) to the south; icebound in winter
Balaton|a large shallow lake in western Hungary
Balkans|the major mountain range of Bulgaria and the Balkan Peninsula
Baltic|a sea in northern Europe; stronghold of the Russian navy
Barents Sea|the part of the Arctic Ocean to the north of Norway and Russia
Bay of Bengal|an arm of the Indian Ocean to the east of India
Bay of Biscay|an arm of the Atlantic Ocean in western Europe; bordered by the west coast of France and the north coast of Spain
Bay of Fundy|a bay of the North Atlantic between New Brunswick and Nova Scotia; noted for rapid tides as great as 70 feet
Bay of Naples|an arm of the Tyrrhenian Sea at Naples
Beaufort Sea|part of the Arctic Ocean to the northeast of Alaska
Bering Sea|part of the North Pacific between Alaska and Siberia; connected to the Arctic Ocean by the Bering Strait
Bering Strait|a strait connecting the Bering Sea to the Arctic Ocean
Berkshires|a low mountain range in western Massachusetts; a resort area
Beta Centauri|the second brightest star in Centaurus
Beta Crucis|the second brightest star in the Southern Cross
Betelgeuse|the second brightest star in Orion
Big Dipper|a group of seven bright stars in the constellation Ursa Major
Bighorn|a river that flows from central Wyoming to the Yellowstone River in southern Montana
Bight of Benin|a broad indentation of the Gulf of Guinea in western Africa
Big Sioux River|a river that rises in northeastern South Dakota and flows southward to join the Missouri River at Sioux City, Iowa
Biscayne Bay|a narrow bay formed by an inlet from the Atlantic Ocean in southeastern Florida
Bismarck Sea|an arm of the South Pacific to the southwest of the Bismarck Archipelago
Black Forest|a hilly forest region in southwestern Germany
Black Hills|mountains in southwestern South Dakota and northeastern Wyoming; sacred to the Sioux (whites settling in the Black Hills led to the Battle of Little Bighorn); site of Mount Rushmore
Black Sea|a sea between Europe and Asia; a popular resort area of eastern Europeans
Blue Nile|a headstream of the Nile; joins the White Nile at Khartoum to form the Nile
Blue Ridge Mountains|a range of the Appalachians extending from southern Pennsylvania to northern Georgia
Bo Hai|an inlet of the Yellow Sea, on the coast of Eastern China
Bonete|a mountain in the Andes in Argentina (22,546 feet high)
Bootes|a constellation in the northern hemisphere near Ursa Major
Bosporus|a strait connecting the Mediterranean and the Black Sea; separates the European and Asian parts of Turkey; an important shipping route
Bougainville Trench|a depression in the floor of the Pacific Ocean between New Guinea and the Solomon Islands
Brahmaputra|an Asian river; flows into the Bay of Bengal
Brazos|a river that rises in Mexico and flows across Texas into the Gulf of Mexico
Brenner Pass|an Alpine mountain pass connecting Innsbruck in Austria with Bolzano in Italy that has long been a route for trade and for invasions
Bristol Channel|an inlet of the Atlantic Ocean between southern Wales and southwestern England
Buzzards Bay|an inlet of the Atlantic Ocean in southeastern Massachusetts
Cachi|a mountain in the Andes in Argentina (22,047 feet high)
Caelum|a constellation in the southern hemisphere near Columba and Eridanus
Callisto|the second largest of Jupiter's satellites
Caloosahatchee|a river in southern Florida that flows westerly to the Gulf of Mexico; forms the western end of the Cross-Florida Waterway
Cam|a river in east central England that flows past Cambridge to join the Ouse River
Cambrian Mountains|a rugged plateau that runs north to south through central Wales
Canadian|a river rising in northeastern New Mexico and flowing eastward across the Texas panhandle to become a tributary of the Arkansas River in Oklahoma
Canadian Falls|a part of Niagara Falls in Ontario
Canandaigua Lake|a glacial lake in central New York; one of the Finger Lakes
Cancer|a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
Canis Major|a constellation to the southeast of Orion; contains Sirius
Canis Minor|a constellation to the east of Orion; contains Procyon
Canopus|supergiant star 650 light years from Earth; second brightest star in the sky
Cantabrian Mountains|a range of mountains in northern Spain along the coast of the Bay of Biscay
Cape Canaveral|a sandy promontory (formerly Cape Kennedy) extending into the Atlantic Ocean from a barrier island off the eastern coast of Florida; the site of a NASA center for spaceflight
Cape Cod Bay|the southern part of Massachusetts Bay
Cape Fear River|a river in North Carolina that flows southeast to the Atlantic Ocean at Cape Fear
Capella|the brightest star in Auriga
Cape Sable|a promontory on the far southern part of Nova Scotia
Cape Sable|a cape at the southwest tip of Florida; the southernmost part of the United States mainland
Cape Trafalgar|a small cape in southwestern Spain; "Nelson defeated the French and Spanish fleets off Cape Trafalgar in 1805"
Cape York|the northern tip of Cape York Peninsula at the Torres Strait; the northernmost point of the Australian mainland
Cape York Peninsula|a peninsula in Queensland in northeastern Australia between the Gulf of Carpentaria and the Coral Sea
Capricornus|a faint zodiacal constellation in the southern hemisphere; between Sagittarius and Aquarius
Caribbean|an arm of the Atlantic Ocean between North and South America; the origin of the Gulf stream
Carina|a keel-shaped constellation in the southern hemisphere; contains the star Canopus
Carlsbad Caverns|a group of caverns in southeastern New Mexico noted for their stalactites and stalagmites
Carpathians|a mountain range in central Europe that extends from Slovakia and southern Poland southeastward through western Ukraine to northeastern Romania; a popular resort area
Cascades|a mountain range in the northwestern United States extending through Washington and Oregon and northern California; a part of the Coast Range
Caspian|a large saltwater lake between Iran and Russia fed by the Volga River; the largest inland body of water in the world
Cassiopeia|a W-shaped constellation in the northern hemisphere near Polaris
Castor|a multiple star with 6 components; second brightest in Gemini; close to Pollux
Cataract Canyon|a tributary of the Grand Canyon
Catskills|a range of the Appalachians to the west of the Hudson in southeastern New York; includes many popular resort areas
Caucasus|the mountain range in Caucasia between the Black Sea and the Caspian Sea that forms part of the traditional border between Europe and Asia
Cayuga Lake|a glacial lake in central New York; the longest of the Finger Lakes
Centaurus|a conspicuous constellation in the southern hemisphere near the Southern Cross
Cepheus|a faint constellation in the northern hemisphere near Cassiopeia and the pole star
Ceres|the largest asteroid and the first discovered
Cetus|a large constellation on the equator near Pisces and Aquarius
Chamaeleon|a faint constellation in the polar region of the southern hemisphere near Apus and Mensa
Changtzu|a mountain in the central Himalayas on the border of Tibet and Nepal (24,780 feet high)
Chao Phraya|a river in Thailand formed by the confluence of the Nan and Ping Rivers; flows southward past Bangkok and empties into the Gulf of Thailand
Charles|a river in eastern Massachusetts that empties into Boston Harbor and that separates Cambridge from Boston
Chattahoochee|a river rising in northern Georgia and flowing southwest and south to join the Flint River at the Florida border where they form the Apalachicola River
Baikal|the largest freshwater lake in Asia or Europe and the deepest lake in the world
Lake Chelan|a narrow very deep lake in central Washington in the Cascade Range
Coeur d'Alene Lake|a lake in northern Idaho
Lake Tahoe|a lake on the border between Nevada and California to the west of Carson City; a popular resort area
Chesapeake Bay|a large inlet of the North Atlantic between Virginia and Maryland; fed by Susquehanna River
Chimborazo|a mountain peak in the Andes in Ecuador (20,560 feet high)
Chiron|an asteroid discovered in 1977; it is unique in having an orbit lying mainly between the orbits of Saturn and Uranus
Chukchi Peninsula|peninsula of northeastern Siberia across the Bering Strait from northwestern Alaska
Chukchi Sea|part of the Arctic Ocean just to the north of the Bering Strait
Cimarron|a river that rises in northeastern New Mexico and flows eastward into Oklahoma where it becomes a tributary of the Arkansas River
Circinus|a small faint constellation in the southern hemisphere near Musca and Triangulum Australe
Clinch River|a river that rises in southwestern Virginia and flows generally southwestward across eastern Tennessee to the Tennessee River
Clyde|a river in western Scotland that flows from the southern uplands into the Firth of Clyde; navigable by oceangoing vessels as far as Glasgow
Coast Range|a string of mountain ranges along the Pacific coast of North America from southeastern Alaska to Lower California
Cocytus|(Greek mythology) a river in Hades that was said to be a tributary of the Acheron
Colorado|an important river in the southwestern United States; rises in the Rocky Mountains of northern Colorado and flows southwest through Utah into Arizona (where it flows through the Grand Canyon) and then southward through the southern tip of Nevada, then forming the border between California and Arizona and finally into Mexico where it empties into the Gulf of California; the main source of water in the southwestern United States
Colorado|a river in Texas; flows southeast into the Gulf of Mexico
Colorado Plateau|a large plateau to the south and west of the Rocky Mountains; abuts mountains on the north and east and ends in an escarpment overlooking lowlands to the south and west; the Grand Canyon is carved out of the southwestern corner
Columba|a constellation in the southern hemisphere near Puppis and Caelum
Columbia|a North American river; rises in southwestern Canada and flows southward across Washington to form the border between Washington and Oregon before emptying into the Pacific; known for its salmon runs in the spring
Coma Berenices|a constellation in the northern hemisphere between Ursa Major and Bootes; contains a cluster of some 10,000 galaxies
Communism Peak|the highest mountain peak in the Pamir Mountains; near the Chinese border in northeastern Tajikistan (24,590 feet high)
Congo|a major African river (one of the world's longest); flows through Congo into the South Atlantic
Connecticut|a river in the northeastern United States; flows south from northern New Hampshire along the border between New Hampshire and Vermont and through Massachusetts and Connecticut where it empties into Long Island Sound
Constance|a lake in southeastern Germany on the northern side of the Swiss Alps; forms part of the Rhine River
Cook Strait|a narrow strait separating the North Island and South Island in New Zealand
Coosa|river that rises in northwestern Georgia and flows southwest through eastern Alabama to join the Tallapoosa River near Montgomery and form the Alabama River
Copernicus|a conspicuous crater on the Moon
Coral Sea|an arm of the South Pacific to the northeast of Australia
Corona Borealis|a small constellation in the northern hemisphere between Bootes and Hercules
Coropuna|a mountain peak in the Andes in Peru (21,083 feet high)
Corvus|a small quadrilateral constellation in the southern hemisphere near Virgo
Crab Nebula|a remnant of a supernova detected first in 1054 AD
Crater|a faint constellation in the southern hemisphere near Hydra and Corvus
Cross-Florida Waterway|a waterway used by small boats to travel between the Atlantic Ocean and the Gulf of Mexico through Lake Okeechobee and the Caloosahatchee Canal and the Caloosahatchee River
Cumberland|a river that rises in southeastern Kentucky and flows westward through northern Tennessee to become a tributary of the Ohio River in southwestern Kentucky
Cumberland Gap|a pass through the Cumberland Mountains between Virginia and Kentucky that early settlers used in order to move west
Cumberland Mountains|the southwestern part of the Appalachians
Cuquenan|a famous waterfall in Venezuela
Cygnus|a constellation in the northern hemisphere between Pegasus and Draco in the Milky Way; contains a black hole
Danube|the 2nd longest European river (after the Volga); flows from southwestern Germany to the Black Sea; "Vienna, Budapest, and Belgrade are on the banks of the Danube"
Darling|an Australian river; tributary of the Murray River
Dead Sea|a saltwater lake on the border between Israel and Jordan; its surface in 1292 feet below sea level
Deimos|the outer of two small satellites of Mars
Delaware|a river that rises in the Catskills in southeastern New York and flows southward along the border of Pennsylvania with New York and New Jersey to northern Delaware where it empties into Delaware Bay
Delaware Bay|an inlet of the North Atlantic; fed by the Delaware River
Delphinus|a constellation in the northern hemisphere near Pegasus and Aquila
Demerara|a river in northern Guyana that flows northward into the Atlantic
Denali Fault|a major open geological fault in Alaska
Deneb|the brightest star in Cygnus
Denebola|a star in Leo approximately 43 light years from Earth
Detroit River|a short river flowing from Lake St. Clair to Lake Erie along the border between the United States and Canada; one the busiest inland waterways in the world
Dhaulagiri|a mountain in the Himalayas in Nepal (26,820 feet high)
Dnieper|a river that rises in Russia near Smolensk and flowing south through Belarus and Ukraine to empty into the Black Sea
Dolomite Alps|an eastern range of the Alps in northeastern Italy famous for their dolomitic limestone
Don|a European river in southwestern Russia; flows into the Sea of Azov
Donner Pass|a mountain pass in northeastern California near Lake Tahoe; site where in 1844 some members of an emigrant party survived by eating those who had died
Dorado|a constellation in the southern hemisphere near Reticulum and Pictor; contains most of the Large Magellanic Cloud
Draco|a faint constellation twisting around the north celestial pole and lying between Ursa Major and Cepheus
Earth|the 3rd planet from the sun; the planet we live on; "the Earth moves around the sun"; "he sailed around the world"
East China Sea|part of the Pacific Ocean near eastern Asia
Ebro|a river in northeastern Spain; flows into the Mediterranean
Elbe|a river in central Europe that arises in northwestern Czechoslovakia and flows northward through Germany to empty into the North Sea
Elizabeth River|a short river in southeastern Virginia flowing between Norfolk and Portsmouth into Hampton Roads
El Libertador|a mountain in the Andes in Argentina (22,047 feet high)
El Muerto|a mountain peak in the Andes on the border between Argentina and Chile (21,457 feet high)
English Channel|an arm of the Atlantic Ocean that forms a channel between France and Britain
Epsilon Aurigae|the largest known star
Eridanus|a constellation in the southern hemisphere near Fornax and Cetus
Euphrates|a river in southwestern Asia; flows into the Persian Gulf; was important in the development of several great civilizations in ancient Mesopotamia
Eurasia|the land mass formed by the continents of Europe and Asia
Europa|the 4th largest of Jupiter's satellites; covered with a smooth shell of frozen water
Europe|the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles
Everest|a mountain in the central Himalayas on the border of Tibet and Nepal; the highest mountain peak in the world (29,028 feet high)
Everglades|a large subtropical swamp in southern Florida that is noted for its wildlife
Eyre|a shallow salt lake in south central Australia about 35 feet below sea level; the largest lake in the country and the lowest point on the continent
Eyre Peninsula|a peninsula of southern Australia
Fingal's Cave|a large cave with basaltic pillars on Staffa island in Scotland
Firth of Clyde|a firth on the southwestern coast of Scotland emptying into the North Channel
Firth of Forth|a large firth on the east coast of Scotland and the estuary of the Forth River; location of Edinburgh
Flint|a river in western Georgia that flows generally south to join the Chattahoochee River at the Florida border where they form the Apalachicola River
Fornax|a faint constellation in the southern hemisphere near Cetus and Phoenix
Forth|a river in southern Scotland that flows eastward to the Firth of Forth
Fountain of Youth|a fountain described in folk tales as able to make people young again; "Ponce de Leon discovered Florida while searching for the Fountain of Youth"
Fox River|a river in Wisconsin that flows into Lake Michigan
Galan|a mountain peak in the Andes in Argentina (21,654 feet high)
Galilean satellite|one of the four satellites of Jupiter that were discovered by Galileo
Galveston Bay|an arm of the Gulf of Mexico in Texas to the south of Houston
Galway Bay|a bay of the North Atlantic on the west coast of Ireland
Ganges|an Asian river; rises in the Himalayas and flows east into the Bay of Bengal; a sacred river of the Hindus
Gan Jiang|a river in southeastern China that flows generally north into the Chang Jiang to the north of Nanchang
Ganymede|the largest of Jupiter's satellites
Garonne|a river that rises in the Pyrenees and flows northwest to the Bay of Biscay
Gasherbrum|a mountain in northern Kashmir (26,470 feet high)
Gemini|a zodiacal constellation in the northern hemisphere between Taurus and Cancer on the ecliptic
Gila|a river that rises in western New Mexico and flows westward through southern Arizona to become a tributary of the Colorado River
Golden Gate|a strait in western California that connects the San Francisco Bay with the Pacific Ocean; discovered in 1579 by Sir Francis Drake
Gondwanaland|a hypothetical continent that (according to plate tectonic theory) broke up later into India and Australia and Africa and South America and Antarctica
Gosainthan|a mountain in the Himalayas in Tibet (26,290 feet high)
Grand Canyon|the enormous gorge of the Colorado River in northern Arizona
Grand River|a river in southern Michigan that flows northwest to empty into Lake Michigan
Grand Teton|a mountain peak in northwestern Wyoming; the highest peak in the Teton Range (13,766 feet high)
Great Attractor|a massive grouping of galaxies in the direction of Centaurus and Hydra whose gravitational attraction is believed to cause deviations in the paths of other galaxies
Great Australian Bight|a wide bay of the Indian Ocean in southern Australia; notorious for storms
Great Bear|a constellation outside the zodiac that rotates around the North Star
Great Barrier Reef|the largest coral reef in the world; in the Coral Sea off the northeastern coast of Australia
Great Dividing Range|a mountain range running along the eastern coast of Australia
Great Lakes|a group of five large, interconnected lakes in central North America
Great Plains|a vast prairie region extending from Alberta and Saskatchewan and Manitoba in Canada south through the west central United States into Texas; formerly inhabited by Native Americans
Great Rift Valley|( geology) a depression in southwestern Asia and eastern Africa; extends from the valley of the Jordan River to Mozambique; marked by geological faults
Great Salt Lake|a shallow body of salt water in northwestern Utah
Great Slave Lake|a lake in the Northwest Territories in northwestern Canada; drained by the Mackenzie River
Great Smoky Mountains|part of the Appalachians between North Carolina and Tennessee
Green|a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River
Greenland Sea|part of the Arctic Ocean to the north of Iceland
Green Mountains|a range of the Appalachian Mountains that extends from south to north through Vermont
Grus|a small constellation in the southern hemisphere near Phoenix
Guadalupe Mountains|a mountain range in southern New Mexico and western Texas; the southern extension of the Sacramento Mountains
Guantanamo Bay|an inlet of the Caribbean Sea; a United States naval station was established on the bay in 1903
Gulf Coast|a seashore of the Gulf of Mexico
Gulf of Aden|arm of the Indian Ocean at the entrance to the Red Sea
Gulf of Alaska|a gulf of the Pacific Ocean between the Alaska Peninsula and the Alexander Archipelago
Gulf of Antalya|a gulf of the Mediterranean Sea in southwestern Turkey
Gulf of Aqaba|a northeastern arm of the Red Sea; between the Sinai Peninsula (Egypt) and Saudi Arabia
Gulf of Bothnia|a northern arm of the Baltic Sea; between Sweden and Finland
Gulf of California|a gulf to the west of the mainland of Mexico
Gulf of Campeche|a part of the Gulf of Mexico to the west of Yucatan
Gulf of Carpentaria|a wide shallow inlet of the Arafura Sea in northern Australia
Gulf of Corinth|inlet of the Ionian Sea between central Greece and the Peloponnesus
Gulf of Finland|an eastern arm of the Baltic Sea; between Finland and Estonia
Gulf of Guinea|a gulf off the southwest coast of Africa
Gulf of Martaban|an arm of the Andaman Sea off southern Myanmar
Gulf of Mexico|an arm of the Atlantic to the south of the United States and to the east of Mexico
Gulf of Ob|an inlet of the Kara Sea in western Siberia
Gulf of Oman|an arm of the Arabian Sea connecting it with the Persian Gulf
Gulf of Riga|an inlet of the Baltic Sea between Latvia and Estonia
Gulf of Saint Lawrence|an arm of the northwest Atlantic Ocean off the southeastern coast of Canada
Gulf of Sidra|wide inlet of the Mediterranean Sea on the north coast of Libya
Gulf of Suez|a northwestern arm of the Red Sea linked to the Mediterranean by the Suez Canal
Gulf of Tehuantepec|an arm of the Pacific in southern Mexico
Gulf of Thailand|an arm of the South China Sea between Indochina and the Malay Peninsula
Gulf of Venice|an arm of the Adriatic Sea
Hampton Roads|a channel in southeastern Virginia through which the Elizabeth River and the James River flow into Chesapeake Bay
Handies Peak|a mountain peak in the San Juan Mountains in southwestern Colorado (14,048 feet high)
Hangzhou Bay|a bay formed by an inlet of the East China Sea
Hercules|a large constellation in the northern hemisphere between Lyra and Corona Borealis
Himalayas|a mountain range extending 1500 miles on the border between India and Tibet; this range contains the world's highest mountain
Hindu Kush|a mountain range extending to the west of the Himalayas
Hook of Holland|a cape on the southwestern coast of the Netherlands near Rotterdam
Housatonic|a river that rises in western Massachusetts and flows south through Connecticut to empty into Long Island Sound
Huang He|a major river of Asia in northern China; flows generally eastward into the Yellow Sea; carries large quantities of yellow silt to its delta
Huascaran|a mountain in the Andes in Peru (22,205 feet high)
Hubbard|a mountain peak in southeastern Alaska that is part of the Coast Range (14,950 feet high)
Hudson|a New York river; flows southward into New York Bay; explored by Henry Hudson early in the 17th century
Hudson Bay|an inland sea in northern Canada
Humber|an estuary in central northeastern England formed by the Ouse River and the Trent River
Hydra|a long faint constellation in the southern hemisphere near the equator stretching between Virgo and Cancer
Hydrus|a constellation in the southern hemisphere near the south celestial pole
Iguazu|a large waterfall on the border between Argentina and Brazil
IJssel|a river in the central Netherlands flowing north to the IJsselmeer
IJsselmeer|a shallow lake in northwestern Netherlands created in 1932 by building a dam across the entrance to the Zuider Zee
Illampu|a mountain peak in the Andes in Bolivia (20,870 feet high)
Illimani|a mountain peak in the Andes in Bolivia (21,201 feet high)
Illinois River|a river in Illinois that flows southwest to the Mississippi River
Indian Ocean|the 3rd largest ocean; bounded by Africa on the west, Asia on the north, Australia on the east and merging with the Antarctic Ocean to the south
Indigirka|a river in far eastern Siberia that flows generally northward to the Arctic Ocean
Indus|an Asian river that rises in Tibet and flows through northern India and then southwest through Kashmir and Pakistan to the Arabian Sea; "the valley of the Indus was the site of an early civilization"
Indus|a faint constellation in the southern hemisphere near Telescopium and Tucana
Inland Passage|a naturally protected waterway from Seattle to Skagway in southeastern Alaska
Inland Sea|an arm of the Pacific Ocean in southern Japan; surrounded by the islands of Honshu and Shikoku and Kyushu and linked to the Sea of Japan by a narrow channel; the chief port is Hiroshima
Io|the closest of Jupiter's moons; has active volcanoes
Ionian Sea|an arm of the Mediterranean Sea between western Greece and southern Italy
Irish Sea|an arm of the North Atlantic between Great Britain and Ireland
Irrawaddy|the main river of Myanmar rising in the north and flowing south through the length of Burma to empty into the Andaman Sea
Irtish|an Asian river that rises in the Altai Mountains in northern China and flows generally northwest to become a tributary of the Ob River
Isere|a river in southeastern France; a tributary of the Rhone
Isthmus of Corinth|a narrow isthmus between the Gulf of Corinth and the Saronic Gulf; a canal crosses the isthmus so that navigation is possible between the gulfs
Isthmus of Kra|a narrow isthmus linking the Malay Peninsula to the Asian mainland
Isthmus of Panama|the isthmus that connects Central America and South America; was formerly called the Isthmus of Darien; "Balboa crossed the Isthmus of Darien"
Isthmus of Suez|the isthmus in northeastern Egypt that connects Africa and Asia
Isthmus of Tehuantepec|the narrowest part of southern Mexico is an isthmus between the Bay of Campeche on the north coast and the Gulf of Tehuantepec on the south coast
James|a river that rises in North Dakota and flows southward across South Dakota to the Missouri
James|a river in Virginia that flows east into Chesapeake Bay at Hampton Roads
James Bay|the southern extension of Hudson Bay in Canada between western Quebec and northeastern Ontario
Japan Trench|a depression in the floor of the Pacific Ocean to the northeast of Japan that reaches depths of 30,000 feet
Jebel Musa|a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
Jordan|a river in Palestine that empties into the Dead Sea; John the Baptist baptized Jesus in the Jordan
Jovian planet|any of the four outermost planets in the solar system; much larger than Earth and gaseous in nature (like Jupiter)
J particle|a neutral meson with a large mass
Jupiter|the largest planet and the 5th from the sun; has many satellites and is one of the brightest objects in the night sky
K"|a mountain peak in the Karakoram Range in northern Kashmir; the 2nd highest peak in the world (28,250 feet high)
Kamet|a mountain in the Himalayas in northern India (25,450 feet high)
Kanawha|a tributary of the Ohio River in West Virginia
Kanchenjunga|a mountain the Himalayas on the border between Nepal and Tibet (28,208 feet high)
Kansas|a river in northeastern Kansas; flows eastward to become a tributary of the Missouri River
Karakoram|a mountain range in northern Kashmir; an extension of the Hindu Kush; contains the 2nd highest peak
Kara Sea|part of the Arctic Ocean to the north of Siberia and to the east of the Barents Sea; icebound most of the year
Karelian Isthmus|the isthmus between the Gulf of Finland and Lake Ladoga that connects Finland and Russia
Kasai|a river of southwestern Africa that rises in central Angola and flows east and then north (forming part of the border between Angola and Congo) and continuing northwest through Congo to empty into the Congo River on the border between Congo and Republic of the Congo
Kattegatt|a strait of the North Sea between Jutland and Sweden; connects with the North Sea through the Skagerrak
Keuka Lake|a glacial lake in central New York; one of the Finger Lakes
Khyber Pass|a mountain pass of great strategic and commercial value in the Hindu Kush on the border between northern Pakistan and western Afghanistan; a route by which invaders entered India
Kilimanjaro|the highest peak in Africa; located in northeastern Tanzania; 19,340 feet high
Kissimmee|a river of central Florida that flows southward to Lake Okeechobee
Kivu|a lake in the mountains of central Africa between Congo and Rwanda
Klamath|a river flowing southwest from Oregon through northern California to the Pacific Ocean
